S,E,I,R,D,Isum,Rsum
5.84994e+07,540,27,0,0,27,0
5.84994e+07,445,129,2,0,35,2
5.84994e+07,399,207,9,1,76,9
5.84993e+07,387,272,20,1,140,20
5.84992e+07,397,330,35,2,225,35
5.84991e+07,424,387,54,3,328,54
5.8499e+07,463,446,75,5,448,75
5.84989e+07,513,508,100,6,587,100
5.84987e+07,572,577,128,8,745,128
5.84985e+07,642,653,160,10,925,160
5.84983e+07,722,738,197,12,1128,197
5.84981e+07,813,833,238,15,1358,238
5.84978e+07,916,940,284,17,1617,284
5.84976e+07,1033,1061,336,21,1910,336
5.84972e+07,1164,1197,395,24,2241,395
5.84968e+07,1313,1350,462,28,2613,462
5.84964e+07,1481,1523,537,33,3034,537
5.8496e+07,1671,1718,621,38,3508,621
5.84954e+07,1884,1938,717,44,4043,717
5.84948e+07,2126,2186,825,50,4647,825
5.84941e+07,2398,2466,946,58,5327,946
5.84934e+07,2704,2781,1083,66,6095,1083
5.84925e+07,3050,3137,1238,76,6961,1238
5.84915e+07,3441,3539,1412,86,7938,1412
5.84904e+07,3881,3992,1609,98,9040,1609
5.84892e+07,4378,4502,1831,112,10283,1831
5.84878e+07,4938,5079,2081,127,11685,2081
5.84862e+07,5570,5728,2364,145,13267,2364
5.84844e+07,6282,6462,2682,164,15050,2682
5.84824e+07,7086,7288,3042,186,17062,3042
5.84801e+07,7993,8221,3447,211,19331,3447
5.84776e+07,9015,9273,3904,239,21891,3904
5.84747e+07,10168,10459,4420,270,24778,4420
5.84714e+07,11469,11798,5001,306,28034,5001
5.84678e+07,12936,13307,5657,346,31706,5657
5.84636e+07,14591,15010,6397,391,35849,6397
5.84589e+07,16457,16930,7231,442,40520,7231
5.84537e+07,18561,19096,8173,500,45789,8173
5.84477e+07,20934,21538,9234,565,51732,9234
5.8441e+07,23611,24293,10432,638,58434,10432
5.84335e+07,26629,27400,11783,721,65992,11783
5.84249e+07,30032,30904,13306,814,74516,13306
5.84153e+07,33869,34856,15024,919,84129,15024
5.84045e+07,38196,39313,16962,1037,94969,16962
5.83923e+07,43075,44338,19148,1171,107192,19148
5.83785e+07,48575,50006,21613,1322,120976,21613
5.83629e+07,54776,56396,24394,1492,136518,24394
5.83454e+07,61765,63602,27529,1683,154041,27529
5.83257e+07,69644,71727,31066,1900,173797,31066
5.83034e+07,78524,80888,35054,2144,196069,35054
5.82783e+07,88531,91216,39551,2419,221177,39551
5.825e+07,99808,102859,44623,2729,249478,44623
5.82181e+07,112512,115983,50342,3078,281375,50342
5.81821e+07,126824,130776,56790,3473,317323,56790
5.81416e+07,142944,147449,64061,3917,357831,64061
5.8096e+07,161096,166237,72260,4419,403472,72260
5.80446e+07,181534,187408,81502,4984,454888,81502
5.79867e+07,204537,211260,91922,5621,512801,91922
5.79214e+07,230423,238128,103668,6339,578019,103668
5.7848e+07,259543,268389,116908,7149,651449,116908
5.77654e+07,292289,302464,131831,8062,734105,131831
5.76723e+07,329099,340826,148648,9090,827122,148648
5.75677e+07,370459,384003,167598,10249,931769,167598
5.745e+07,416909,432586,188948,11554,1.04946e+06,188948
5.73177e+07,469046,487235,213000,13025,1.18177e+06,213000
5.7169e+07,527527,548686,240090,14682,1.33044e+06,240090
5.7002e+07,593080,617757,270597,16547,1.49744e+06,270597
5.68145e+07,666501,695358,304944,18648,1.68491e+06,304944
5.66042e+07,748658,782500,343606,21012,1.89524e+06,343606
5.63684e+07,840498,880300,387113,23672,2.13104e+06,387113
5.61042e+07,943044,989990,436058,26665,2.39522e+06,436058
5.58085e+07,1.0574e+06,1.11293e+06,491101,30031,2.69092e+06,491101
5.54779e+07,1.18472e+06,1.2506e+06,552980,33815,3.02158e+06,552980
5.51085e+07,1.32627e+06,1.40464e+06,622514,38067,3.39095e+06,622514
5.46964e+07,1.48334e+06,1.57681e+06,700612,42843,3.80306e+06,700612
5.42372e+07,1.65725e+06,1.76902e+06,788282,48204,4.26221e+06,788282
5.37264e+07,1.84936e+06,1.98334e+06,886640,54219,4.77302e+06,886640
5.31591e+07,2.06102e+06,2.22195e+06,996913,60962,5.34031e+06,996913
5.25303e+07,2.29352e+06,2.48719e+06,1.12045e+06,68517,5.96915e+06,1.12045e+06
5.18347e+07,2.54805e+06,2.78149e+06,1.25874e+06,76973,6.66472e+06,1.25874e+06
5.10672e+07,2.82564e+06,3.10738e+06,1.41339e+06,86430,7.4323e+06,1.41339e+06
5.02224e+07,3.12708e+06,3.46741e+06,1.58616e+06,96996,8.2771e+06,1.58616e+06
4.92953e+07,3.45284e+06,3.86417e+06,1.77895e+06,108785,9.2042e+06,1.77895e+06
4.82811e+07,3.80297e+06,4.30016e+06,1.9938e+06,121923,1.02183e+07,1.9938e+06
4.71758e+07,4.17697e+06,4.77776e+06,2.23289e+06,136544,1.13236e+07,2.23289e+06
4.59759e+07,4.5737e+06,5.29911e+06,2.49853e+06,152788,1.25236e+07,2.49853e+06
4.46788e+07,4.99123e+06,5.86598e+06,2.79316e+06,170805,1.38206e+07,2.79316e+06
4.32835e+07,5.42671e+06,6.4797e+06,3.11931e+06,190749,1.52159e+07,3.11931e+06
4.17904e+07,5.87629e+06,7.14096e+06,3.47958e+06,212780,1.67091e+07,3.47958e+06
4.02016e+07,6.33503e+06,7.84965e+06,3.87662e+06,237059,1.82978e+07,3.87662e+06
3.85216e+07,6.79684e+06,8.60475e+06,4.31306e+06,263748,1.99779e+07,4.31306e+06
3.67569e+07,7.25449e+06,9.4041e+06,4.79148e+06,293004,2.17425e+07,4.79148e+06
3.49167e+07,7.69971e+06,1.02443e+07,5.31435e+06,324978,2.35828e+07,5.31435e+06
3.30124e+07,8.12337e+06,1.11205e+07,5.88394e+06,359809,2.54871e+07,5.88394e+06
3.10579e+07,8.5157e+06,1.20266e+07,6.50224e+06,397619,2.74416e+07,6.50224e+06
2.90693e+07,8.86668e+06,1.29546e+07,7.17091e+06,438509,2.94301e+07,7.17091e+06
2.70645e+07,9.16646e+06,1.38953e+07,7.89119e+06,482555,3.1435e+07,7.89119e+06
2.50624e+07,9.40588e+06,1.48382e+07,8.66376e+06,529799,3.34371e+07,8.66376e+06
2.30826e+07,9.57695e+06,1.57715e+07,9.48877e+06,580248,3.54169e+07,9.48877e+06
2.11444e+07,9.67342e+06,1.66826e+07,1.03657e+07,633871,3.7355e+07,1.03657e+07
1.92665e+07,9.69117e+06,1.75585e+07,1.12932e+07,690592,3.9233e+07,1.12932e+07
1.74655e+07,9.62856e+06,1.83862e+07,1.22695e+07,750291,4.1034e+07,1.22695e+07
1.57559e+07,9.48659e+06,1.9153e+07,1.32917e+07,812804,4.27436e+07,1.32917e+07
1.41493e+07,9.2689e+06,1.98472e+07,1.43566e+07,877925,4.43502e+07,1.43566e+07
1.26542e+07,8.98155e+06,2.04586e+07,1.54602e+07,945405,4.58452e+07,1.54602e+07
1.1276e+07,8.63267e+06,2.09787e+07,1.65977e+07,1.01496e+06,4.72235e+07,1.65977e+07
1.00166e+07,8.23199e+06,2.14011e+07,1.77641e+07,1.08629e+06,4.84829e+07,1.77641e+07
8.87535e+06,7.79022e+06,2.17214e+07,1.8954e+07,1.15906e+06,4.96241e+07,1.8954e+07
7.84899e+06,7.31851e+06,2.19379e+07,2.01617e+07,1.23291e+06,5.06505e+07,2.01617e+07
6.93228e+06,6.82788e+06,2.20509e+07,2.13814e+07,1.3075e+06,5.15672e+07,2.13814e+07
6.11847e+06,6.32869e+06,2.20629e+07,2.26075e+07,1.38247e+06,5.2381e+07,2.26075e+07
5.3998e+06,5.83035e+06,2.19782e+07,2.38342e+07,1.45748e+06,5.30997e+07,2.38342e+07
4.76798e+06,5.341e+06,2.18027e+07,2.50561e+07,1.53221e+06,5.37315e+07,2.50561e+07
4.21454e+06,4.86736e+06,2.15434e+07,2.62684e+07,1.60634e+06,5.42849e+07,2.62684e+07
3.73116e+06,4.41474e+06,2.12083e+07,2.74662e+07,1.67959e+06,5.47683e+07,2.74662e+07
3.30988e+06,3.98707e+06,2.0806e+07,2.86454e+07,1.7517e+06,5.51896e+07,2.86454e+07
2.94325e+06,3.58698e+06,2.03451e+07,2.98022e+07,1.82244e+06,5.55562e+07,2.98022e+07
2.62446e+06,3.216e+06,1.98346e+07,3.09334e+07,1.89161e+06,5.5875e+07,3.09334e+07
2.34733e+06,2.8747e+06,1.92828e+07,3.20362e+07,1.95905e+06,5.61521e+07,3.20362e+07
2.10636e+06,2.56286e+06,1.86979e+07,3.31083e+07,2.02461e+06,5.63931e+07,3.31083e+07
1.89668e+06,2.2797e+06,1.80875e+07,3.41479e+07,2.08818e+06,5.66028e+07,3.41479e+07
1.71404e+06,2.02396e+06,1.74588e+07,3.51536e+07,2.14968e+06,5.67854e+07,3.51536e+07
1.55472e+06,1.79406e+06,1.68179e+07,3.61243e+07,2.20904e+06,5.69447e+07,3.61243e+07
1.41552e+06,1.58827e+06,1.61706e+07,3.70593e+07,2.26622e+06,5.70839e+07,3.70593e+07
1.29366e+06,1.40471e+06,1.5522e+07,3.79584e+07,2.3212e+06,5.72058e+07,3.79584e+07
1.18676e+06,1.24148e+06,1.48763e+07,3.88215e+07,2.37397e+06,5.73127e+07,3.88215e+07
1.09277e+06,1.09674e+06,1.42374e+07,3.96486e+07,2.42455e+06,5.74067e+07,3.96486e+07
1.00994e+06,968663,1.36083e+07,4.04402e+07,2.47296e+06,5.74895e+07,4.04402e+07
936771,855557,1.29916e+07,4.11968e+07,2.51923e+06,5.75627e+07,4.11968e+07
871979,755825,1.23897e+07,4.19191e+07,2.5634e+06,5.76275e+07,4.19191e+07
814463,667996,1.1804e+07,4.2608e+07,2.60552e+06,5.7685e+07,4.2608e+07
763280,590723,1.1236e+07,4.32643e+07,2.64566e+06,5.77362e+07,4.32643e+07
717621,522785,1.06867e+07,4.3889e+07,2.68386e+06,5.77818e+07,4.3889e+07
676793,463082,1.01567e+07,4.44832e+07,2.7202e+06,5.78227e+07,4.44832e+07
640197,410627,9.64653e+06,4.50479e+07,2.75473e+06,5.78593e+07,4.50479e+07
607319,364542,9.15634e+06,4.55843e+07,2.78753e+06,5.78921e+07,4.55843e+07
577714,324045,8.68622e+06,4.60934e+07,2.81866e+06,5.79217e+07,4.60934e+07
550998,288447,8.23605e+06,4.65763e+07,2.84819e+06,5.79485e+07,4.65763e+07
526839,257139,7.80559e+06,4.70342e+07,2.87619e+06,5.79726e+07,4.70342e+07
504946,229584,7.39451e+06,4.74682e+07,2.90273e+06,5.79945e+07,4.74682e+07
485067,205313,7.00238e+06,4.78794e+07,2.92788e+06,5.80144e+07,4.78794e+07
466984,183914,6.62872e+06,4.82687e+07,2.95168e+06,5.80325e+07,4.82687e+07
450504,165028,6.273e+06,4.86373e+07,2.97422e+06,5.8049e+07,4.86373e+07
435459,148338,5.93462e+06,4.8986e+07,2.99555e+06,5.8064e+07,4.8986e+07
421701,133571,5.613e+06,4.9316e+07,3.01573e+06,5.80778e+07,4.9316e+07
409099,120487,5.30752e+06,4.96281e+07,3.03481e+06,5.80904e+07,4.96281e+07
397540,108877,5.01755e+06,4.99232e+07,3.05286e+06,5.81019e+07,4.99232e+07
386920,98559,4.74245e+06,5.02022e+07,3.06992e+06,5.81125e+07,5.02022e+07
377152,89375,4.4816e+06,5.04658e+07,3.08604e+06,5.81223e+07,5.04658e+07
368153,81187,4.23437e+06,5.0715e+07,3.10128e+06,5.81313e+07,5.0715e+07
359854,73874,4.00016e+06,5.09504e+07,3.11568e+06,5.81396e+07,5.09504e+07
352190,67331,3.77835e+06,5.11729e+07,3.12928e+06,5.81473e+07,5.11729e+07
345106,61468,3.56838e+06,5.13829e+07,3.14212e+06,5.81544e+07,5.13829e+07
338550,56204,3.36966e+06,5.15813e+07,3.15425e+06,5.81609e+07,5.15813e+07
332476,51469,3.18166e+06,5.17687e+07,3.16571e+06,5.8167e+07,5.17687e+07
326845,47203,3.00384e+06,5.19456e+07,3.17653e+06,5.81726e+07,5.19456e+07
321618,43353,2.83569e+06,5.21126e+07,3.18674e+06,5.81778e+07,5.21126e+07
316762,39872,2.67672e+06,5.22703e+07,3.19638e+06,5.81827e+07,5.22703e+07
312248,36718,2.52646e+06,5.24191e+07,3.20548e+06,5.81872e+07,5.24191e+07
308049,33857,2.38446e+06,5.25596e+07,3.21407e+06,5.81914e+07,5.25596e+07
304138,31257,2.25029e+06,5.26921e+07,3.22218e+06,5.81953e+07,5.26921e+07
300494,28890,2.12353e+06,5.28172e+07,3.22983e+06,5.8199e+07,5.28172e+07
297097,26732,2.0038e+06,5.29353e+07,3.23705e+06,5.82024e+07,5.29353e+07
293928,24760,1.89072e+06,5.30467e+07,3.24386e+06,5.82055e+07,5.30467e+07
290969,22958,1.78393e+06,5.31519e+07,3.25029e+06,5.82085e+07,5.31519e+07
288206,21306,1.68309e+06,5.3251e+07,3.25636e+06,5.82113e+07,5.3251e+07
285623,19792,1.58788e+06,5.33446e+07,3.26208e+06,5.82138e+07,5.33446e+07
283209,18400,1.498e+06,5.34329e+07,3.26748e+06,5.82163e+07,5.34329e+07
280950,17120,1.41316e+06,5.35162e+07,3.27257e+06,5.82185e+07,5.35162e+07
278836,15942,1.33308e+06,5.35948e+07,3.27738e+06,5.82206e+07,5.35948e+07
276858,14855,1.25749e+06,5.36689e+07,3.28191e+06,5.82226e+07,5.36689e+07
275004,13852,1.18616e+06,5.37388e+07,3.28619e+06,5.82245e+07,5.37388e+07
273267,12925,1.11884e+06,5.38048e+07,3.29022e+06,5.82262e+07,5.38048e+07
271640,12067,1.05531e+06,5.3867e+07,3.29402e+06,5.82278e+07,5.3867e+07
270114,11273,995368,5.39256e+07,3.29761e+06,5.82293e+07,5.39256e+07
268682,10536,938809,5.3981e+07,3.301e+06,5.82308e+07,5.3981e+07
267339,9853,885445,5.40332e+07,3.30419e+06,5.82321e+07,5.40332e+07
266079,9219,835099,5.40824e+07,3.3072e+06,5.82334e+07,5.40824e+07
264896,8629,787600,5.41288e+07,3.31004e+06,5.82346e+07,5.41288e+07
263785,8080,742791,5.41726e+07,3.31272e+06,5.82357e+07,5.41726e+07
262742,7570,700521,5.42139e+07,3.31524e+06,5.82367e+07,5.42139e+07
261762,7094,660645,5.42529e+07,3.31762e+06,5.82377e+07,5.42529e+07
260842,6650,623031,5.42896e+07,3.31987e+06,5.82386e+07,5.42896e+07
259977,6237,587551,5.43242e+07,3.32199e+06,5.82395e+07,5.43242e+07
259163,5851,554085,5.43569e+07,3.32398e+06,5.82403e+07,5.43569e+07
258399,5490,522519,5.43877e+07,3.32587e+06,5.82411e+07,5.43877e+07
257680,5153,492746,5.44168e+07,3.32764e+06,5.82418e+07,5.44168e+07
257004,4838,464665,5.44442e+07,3.32932e+06,5.82425e+07,5.44442e+07
256368,4544,438180,5.447e+07,3.3309e+06,5.82431e+07,5.447e+07
255770,4268,413201,5.44944e+07,3.33239e+06,5.82437e+07,5.44944e+07
255208,4010,389643,5.45173e+07,3.33379e+06,5.82443e+07,5.45173e+07
254678,3768,367425,5.4539e+07,3.33512e+06,5.82448e+07,5.4539e+07
254180,3542,346472,5.45594e+07,3.33637e+06,5.82453e+07,5.45594e+07
253711,3329,326711,5.45787e+07,3.33755e+06,5.82457e+07,5.45787e+07
253270,3130,308075,5.45969e+07,3.33866e+06,5.82462e+07,5.45969e+07
252854,2944,290501,5.4614e+07,3.3397e+06,5.82466e+07,5.4614e+07
252463,2769,273928,5.46301e+07,3.34069e+06,5.8247e+07,5.46301e+07
252095,2605,258298,5.46454e+07,3.34162e+06,5.82474e+07,5.46454e+07
251749,2450,243560,5.46597e+07,3.3425e+06,5.82477e+07,5.46597e+07
251422,2306,229661,5.46733e+07,3.34333e+06,5.8248e+07,5.46733e+07
251115,2170,216554,5.46861e+07,3.34411e+06,5.82483e+07,5.46861e+07
250825,2042,204195,5.46981e+07,3.34485e+06,5.82486e+07,5.46981e+07
250553,1922,192540,5.47094e+07,3.34554e+06,5.82489e+07,5.47094e+07
250296,1809,181550,5.47201e+07,3.3462e+06,5.82492e+07,5.47201e+07
250054,1703,171186,5.47302e+07,3.34681e+06,5.82494e+07,5.47302e+07
249826,1604,161414,5.47398e+07,3.3474e+06,5.82496e+07,5.47398e+07
249611,1510,152199,5.47487e+07,3.34794e+06,5.82498e+07,5.47487e+07
249409,1422,143509,5.47572e+07,3.34846e+06,5.82501e+07,5.47572e+07
249218,1339,135316,5.47652e+07,3.34895e+06,5.82502e+07,5.47652e+07
249039,1261,127589,5.47727e+07,3.34941e+06,5.82504e+07,5.47727e+07
248870,1188,120304,5.47798e+07,3.34984e+06,5.82506e+07,5.47798e+07
248710,1119,113435,5.47865e+07,3.35025e+06,5.82508e+07,5.47865e+07
248560,1054,106957,5.47928e+07,3.35064e+06,5.82509e+07,5.47928e+07
248419,993,100849,5.47987e+07,3.351e+06,5.8251e+07,5.47987e+07
248285,935,95090,5.48043e+07,3.35134e+06,5.82512e+07,5.48043e+07
248160,881,89660,5.48096e+07,3.35167e+06,5.82513e+07,5.48096e+07
248041,830,84539,5.48146e+07,3.35197e+06,5.82514e+07,5.48146e+07
247929,782,79711,5.48193e+07,3.35226e+06,5.82515e+07,5.48193e+07
247824,737,75158,5.48237e+07,3.35253e+06,5.82516e+07,5.48237e+07
247725,694,70866,5.48279e+07,3.35279e+06,5.82517e+07,5.48279e+07
247632,654,66818,5.48319e+07,3.35303e+06,5.82518e+07,5.48319e+07
247544,617,63002,5.48356e+07,3.35326e+06,5.82519e+07,5.48356e+07
247460,581,59403,5.48391e+07,3.35347e+06,5.8252e+07,5.48391e+07
247382,548,56010,5.48424e+07,3.35367e+06,5.82521e+07,5.48424e+07
247308,516,52811,5.48455e+07,3.35386e+06,5.82522e+07,5.48455e+07
247239,486,49794,5.48484e+07,3.35404e+06,5.82522e+07,5.48484e+07
247173,458,46950,5.48512e+07,3.35421e+06,5.82523e+07,5.48512e+07
247112,432,44268,5.48538e+07,3.35437e+06,5.82523e+07,5.48538e+07
247053,407,41739,5.48563e+07,3.35452e+06,5.82524e+07,5.48563e+07
246998,384,39355,5.48586e+07,3.35466e+06,5.82525e+07,5.48586e+07
246947,362,37107,5.48608e+07,3.3548e+06,5.82525e+07,5.48608e+07
246898,341,34987,5.48629e+07,3.35492e+06,5.82526e+07,5.48629e+07
246852,321,32988,5.48648e+07,3.35504e+06,5.82526e+07,5.48648e+07
246809,303,31104,5.48666e+07,3.35515e+06,5.82527e+07,5.48666e+07
246768,286,29327,5.48684e+07,3.35526e+06,5.82527e+07,5.48684e+07
246729,269,27652,5.487e+07,3.35536e+06,5.82527e+07,5.487e+07
246693,254,26072,5.48715e+07,3.35545e+06,5.82528e+07,5.48715e+07
246659,239,24582,5.4873e+07,3.35554e+06,5.82528e+07,5.4873e+07
246626,225,23178,5.48743e+07,3.35562e+06,5.82528e+07,5.48743e+07
246596,213,21854,5.48756e+07,3.3557e+06,5.82529e+07,5.48756e+07
246567,200,20605,5.48768e+07,3.35578e+06,5.82529e+07,5.48768e+07
246540,189,19428,5.4878e+07,3.35585e+06,5.82529e+07,5.4878e+07
246515,178,18318,5.48791e+07,3.35592e+06,5.82529e+07,5.48791e+07
246491,168,17272,5.48801e+07,3.35598e+06,5.8253e+07,5.48801e+07
246468,158,16285,5.48811e+07,3.35604e+06,5.8253e+07,5.48811e+07
246447,149,15355,5.4882e+07,3.35609e+06,5.8253e+07,5.4882e+07
246426,141,14477,5.48828e+07,3.35614e+06,5.8253e+07,5.48828e+07
246407,133,13650,5.48836e+07,3.35619e+06,5.82531e+07,5.48836e+07
246390,125,12870,5.48844e+07,3.35624e+06,5.82531e+07,5.48844e+07
246373,118,12135,5.48851e+07,3.35628e+06,5.82531e+07,5.48851e+07
246357,111,11442,5.48858e+07,3.35632e+06,5.82531e+07,5.48858e+07
246342,105,10788,5.48864e+07,3.35636e+06,5.82531e+07,5.48864e+07
246328,99,10172,5.4887e+07,3.3564e+06,5.82531e+07,5.4887e+07
246314,93,9591,5.48876e+07,3.35643e+06,5.82531e+07,5.48876e+07
246302,88,9043,5.48881e+07,3.35647e+06,5.82532e+07,5.48881e+07
246290,83,8526,5.48886e+07,3.3565e+06,5.82532e+07,5.48886e+07
246279,78,8039,5.48891e+07,3.35653e+06,5.82532e+07,5.48891e+07
246268,74,7580,5.48895e+07,3.35655e+06,5.82532e+07,5.48895e+07
246258,69,7147,5.48899e+07,3.35658e+06,5.82532e+07,5.48899e+07
246249,65,6738,5.48903e+07,3.3566e+06,5.82532e+07,5.48903e+07
246240,62,6353,5.48907e+07,3.35663e+06,5.82532e+07,5.48907e+07
246232,58,5990,5.48911e+07,3.35665e+06,5.82532e+07,5.48911e+07
246224,55,5648,5.48914e+07,3.35667e+06,5.82532e+07,5.48914e+07
246216,52,5325,5.48917e+07,3.35669e+06,5.82532e+07,5.48917e+07
246209,49,5021,5.4892e+07,3.35671e+06,5.82533e+07,5.4892e+07
246203,46,4734,5.48923e+07,3.35672e+06,5.82533e+07,5.48923e+07
246197,43,4464,5.48926e+07,3.35674e+06,5.82533e+07,5.48926e+07
246191,41,4209,5.48928e+07,3.35675e+06,5.82533e+07,5.48928e+07
246185,38,3968,5.4893e+07,3.35677e+06,5.82533e+07,5.4893e+07
246180,36,3741,5.48933e+07,3.35678e+06,5.82533e+07,5.48933e+07
246175,34,3528,5.48935e+07,3.3568e+06,5.82533e+07,5.48935e+07
246171,32,3326,5.48937e+07,3.35681e+06,5.82533e+07,5.48937e+07
246166,30,3136,5.48938e+07,3.35682e+06,5.82533e+07,5.48938e+07
246162,29,2957,5.4894e+07,3.35683e+06,5.82533e+07,5.4894e+07
246158,27,2788,5.48942e+07,3.35684e+06,5.82533e+07,5.48942e+07
246155,25,2629,5.48943e+07,3.35685e+06,5.82533e+07,5.48943e+07
246151,24,2478,5.48945e+07,3.35686e+06,5.82533e+07,5.48945e+07
246148,23,2337,5.48946e+07,3.35687e+06,5.82533e+07,5.48946e+07
246145,21,2203,5.48948e+07,3.35687e+06,5.82533e+07,5.48948e+07
246142,20,2077,5.48949e+07,3.35688e+06,5.82533e+07,5.48949e+07
246139,19,1959,5.4895e+07,3.35689e+06,5.82533e+07,5.4895e+07
246137,18,1847,5.48951e+07,3.3569e+06,5.82533e+07,5.48951e+07
246134,17,1741,5.48952e+07,3.3569e+06,5.82533e+07,5.48952e+07
246132,16,1642,5.48953e+07,3.35691e+06,5.82533e+07,5.48953e+07
246130,15,1548,5.48954e+07,3.35691e+06,5.82533e+07,5.48954e+07
246128,14,1460,5.48955e+07,3.35692e+06,5.82533e+07,5.48955e+07
246126,13,1376,5.48956e+07,3.35692e+06,5.82533e+07,5.48956e+07
246124,13,1298,5.48956e+07,3.35693e+06,5.82533e+07,5.48956e+07
246122,12,1223,5.48957e+07,3.35693e+06,5.82533e+07,5.48957e+07
246121,11,1154,5.48958e+07,3.35694e+06,5.82533e+07,5.48958e+07
246119,11,1088,5.48958e+07,3.35694e+06,5.82533e+07,5.48958e+07
246118,10,1025,5.48959e+07,3.35694e+06,5.82533e+07,5.48959e+07
246116,9,967,5.4896e+07,3.35695e+06,5.82533e+07,5.4896e+07
246115,9,912,5.4896e+07,3.35695e+06,5.82533e+07,5.4896e+07
246114,8,860,5.48961e+07,3.35695e+06,5.82533e+07,5.48961e+07
246113,8,810,5.48961e+07,3.35696e+06,5.82533e+07,5.48961e+07
246112,7,764,5.48962e+07,3.35696e+06,5.82533e+07,5.48962e+07
246111,7,720,5.48962e+07,3.35696e+06,5.82533e+07,5.48962e+07
246110,7,679,5.48962e+07,3.35696e+06,5.82534e+07,5.48962e+07
246109,6,641,5.48963e+07,3.35697e+06,5.82534e+07,5.48963e+07
246108,6,604,5.48963e+07,3.35697e+06,5.82534e+07,5.48963e+07
246107,6,569,5.48963e+07,3.35697e+06,5.82534e+07,5.48963e+07
246107,5,537,5.48964e+07,3.35697e+06,5.82534e+07,5.48964e+07
246106,5,506,5.48964e+07,3.35698e+06,5.82534e+07,5.48964e+07
246105,5,477,5.48964e+07,3.35698e+06,5.82534e+07,5.48964e+07
246105,4,450,5.48965e+07,3.35698e+06,5.82534e+07,5.48965e+07
246104,4,424,5.48965e+07,3.35698e+06,5.82534e+07,5.48965e+07
246103,4,400,5.48965e+07,3.35698e+06,5.82534e+07,5.48965e+07
246103,4,377,5.48965e+07,3.35698e+06,5.82534e+07,5.48965e+07
246102,3,356,5.48966e+07,3.35698e+06,5.82534e+07,5.48966e+07
246102,3,335,5.48966e+07,3.35698e+06,5.82534e+07,5.48966e+07
246101,3,316,5.48966e+07,3.35699e+06,5.82534e+07,5.48966e+07
246101,3,298,5.48966e+07,3.35699e+06,5.82534e+07,5.48966e+07
246101,3,281,5.48966e+07,3.35699e+06,5.82534e+07,5.48966e+07
246100,3,265,5.48966e+07,3.35699e+06,5.82534e+07,5.48966e+07
246100,2,250,5.48967e+07,3.35699e+06,5.82534e+07,5.48967e+07
246100,2,236,5.48967e+07,3.35699e+06,5.82534e+07,5.48967e+07
246099,2,222,5.48967e+07,3.35699e+06,5.82534e+07,5.48967e+07
246099,2,209,5.48967e+07,3.35699e+06,5.82534e+07,5.48967e+07
246099,2,197,5.48967e+07,3.35699e+06,5.82534e+07,5.48967e+07
246099,2,186,5.48967e+07,3.35699e+06,5.82534e+07,5.48967e+07
246098,2,176,5.48967e+07,3.35699e+06,5.82534e+07,5.48967e+07
246098,2,166,5.48967e+07,3.357e+06,5.82534e+07,5.48967e+07
246098,2,156,5.48967e+07,3.357e+06,5.82534e+07,5.48967e+07
246098,1,147,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246097,1,139,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246097,1,131,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246097,1,123,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246097,1,116,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246097,1,110,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246097,1,103,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246096,1,97,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246096,1,92,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246096,1,87,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246096,1,82,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246096,1,77,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246096,1,73,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246096,1,68,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246096,1,65,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246096,1,61,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
246096,1,57,5.48968e+07,3.357e+06,5.82534e+07,5.48968e+07
